ncrb_state_raw,ncrb_district_raw,canonical_state,canonical_district,state_code,district_code_pc11
UTTAR PRADESH,Mau,UTTAR PRADESH,MAU,9,192.0
MADHYA PRADESH,Bhopal Railway,MADHYA PRADESH,BHOPAL,23,444.0
MADHYA PRADESH,NIWAR,MADHYA PRADESH,TIKAMGARH,23,424.0
UTTAR PRADESH,Amroha,UTTAR PRADESH,AMROHA,9,137.0
KARNATAKA,Haveri,KARNATAKA,HAVERI,29,564.0
MAHARASHTRA,Nagpur Commr.,MAHARASHTRA,NAGPUR,27,505.0
MAHARASHTRA,Aurangabad Rural,MAHARASHTRA,AURANGABAD,27,515.0
UTTAR PRADESH,Hardoi,UTTAR PRADESH,HARDOI,9,155.0
CHHATTISGARH,Rajnandgaon,CHHATTISGARH,RAJNANDGAON,22,408.0
MANIPUR,Pherzawl,MANIPUR,CHURACHANDPUR,14,274.0
RAJASTHAN,Kota Rural,RAJASTHAN,KOTA,8,127.0
Telangana,Hyderabad Commissionerate,Telangana,HYDERABAD CITY,28,536.0
HARYANA,Ambala (Urban),HARYANA,AMBALA,6,70.0
TAMIL NADU,Krishnagiri,TAMIL NADU,DHARMAPURI,33,630.0
MEGHALAYA,Khasi Hills South West,MEGHALAYA,KHASI HILLS WEST,17,296.0
ARUNACHAL PRADESH,Anjaw,ARUNACHAL PRADESH,LOHIT,12,259.0
MAHARASHTRA,Ratnagiri,MAHARASHTRA,RATNAGIRI,27,528.0
JAMMU & KASHMIR,Jammu,JAMMU & KASHMIR,JAMMU,1,21.0
ODISHA,Ganjam,ODISHA,GANJAM,21,388.0
WEST BENGAL,Purba Bardhaman,WEST BENGAL,BURDWAN,19,335.0
RAJASTHAN,JAIPUR RURAL,RAJASTHAN,JAIPUR,8,110.0
DELHI UT,New Delhi,DELHI UT,NEW DELHI,7,94.0
WEST BENGAL,Sundarban Police,WEST BENGAL,24 PARGANAS SOUTH,19,343.0
CHHATTISGARH,Kabirdham,CHHATTISGARH,KAWARDHA,22,407.0
WEST BENGAL,Darjeeling,WEST BENGAL,DARJEELING,19,327.0
ASSAM,Dhemaji,ASSAM,DHEMAJI,18,308.0
ANDHRA PRADESH,Krishna,ANDHRA PRADESH,KRISHNA,28,547.0
BIHAR,Nalanda,BIHAR,NALANDA,10,229.0
JAMMU & KASHMIR,Railways Jammu,JAMMU & KASHMIR,JAMMU,1,21.0
TAMIL NADU,Kanyakumari,TAMIL NADU,KANYAKUMARI,33,629.0
CHHATTISGARH,Kondagaon,CHHATTISGARH,BASTAR,22,414.0
MAHARASHTRA,Latur,MAHARASHTRA,LATUR,27,524.0
PUNJAB,Kapurthala,PUNJAB,KAPURTHALA,3,36.0
UTTARAKHAND,Chamoli,UTTARAKHAND,CHAMOLI,5,57.0
DELHI UT,Central,DELHI UT,CENTRAL,7,95.0
UTTARAKHAND,Nainital,UTTARAKHAND,NAINITAL,5,66.0
RAJASTHAN,PRATAPGARH,RAJASTHAN,CHITTORGARH,8,126.0
RAJASTHAN,Churu,RAJASTHAN,CHURU,8,102.0
KERALA,ERNAKULAM COMMR.,KERALA,ERNAKULAM,32,595.0
ASSAM,South Salmara,ASSAM,DHUBRI,18,301.0
MAHARASHTRA,Nagpur Rural,MAHARASHTRA,NAGPUR,27,505.0
GUJARAT,Valsad,GUJARAT,VALSAD,24,491.0
BIHAR,Banka,BIHAR,BANKA,10,225.0
KARNATAKA,Chamarajnagar,KARNATAKA,CHAMARAJNAGAR,29,578.0
NAGALAND,Dimapur,NAGALAND,DIMAPUR,13,265.0
MAHARASHTRA,THANE RURAL,MAHARASHTRA,THANE,27,517.0
KARNATAKA,Yadgiri,KARNATAKA,GULBARGA,29,579.0
BIHAR,Madhepura,BIHAR,MADHEPURA,10,213.0
UTTAR PRADESH,Rampur,UTTAR PRADESH,RAMPUR,9,136.0
Telangana,Nizamabad,Telangana,NIZAMABAD,28,533.0
MANIPUR,Imphal East,MANIPUR,IMPHAL EAST,14,278.0
CHHATTISGARH,Jashpur,CHHATTISGARH,JASHPUR,22,402.0
TAMIL NADU,Coimbatore,TAMIL NADU,COIMBATORE,33,632.0
NAGALAND,Kiphire,NAGALAND,KIPHIRE,13,269.0
NAGALAND,LONGLENG,NAGALAND,TUENSANG,13,267.0
KERALA,Palakkad,KERALA,PALAKKAD,32,593.0
HIMACHAL PRADESH,Chamba,HIMACHAL PRADESH,CHAMBA,2,23.0
ODISHA,Balasore,ODISHA,BALASORE,21,377.0
MADHYA PRADESH,ASHOK NAGAR,MADHYA PRADESH,GUNA,23,458.0
Telangana,Medak,Telangana,MEDAK,28,535.0
UTTAR PRADESH,KANSHIRAM NAGAR,UTTAR PRADESH,ETAH,9,201.0
HARYANA,Kaithal,HARYANA,KAITHAL,6,73.0
BIHAR,Saran,BIHAR,SARAN,10,219.0
DELHI UT,North-West,DELHI UT,NORTH WEST,7,90.0
ARUNACHAL PRADESH,Subansiri Upper,ARUNACHAL PRADESH,SUBANSIRI UPPER,12,249.0
MADHYA PRADESH,INDORE RLY.,MADHYA PRADESH,INDORE RLY.,23,439.0
TAMIL NADU,MADURAI URBAN,TAMIL NADU,MADURAI,33,623.0
NAGALAND,Tuensang,NAGALAND,TUENSANG,13,267.0
TAMIL NADU,SALEM RURAL,TAMIL NADU,SALEM,33,608.0
MANIPUR,Tengnoupal,MANIPUR,CHANDEL,14,280.0
MIZORAM,Aizawl,MIZORAM,AIZAWL,15,283.0
BIHAR,Patna,BIHAR,PATNA,10,230.0
ODISHA,Angul,ODISHA,ANGUL,21,384.0
ANDHRA PRADESH,Guntur Urban,ANDHRA PRADESH,GUNTUR URBAN,28,548.0
WEST BENGAL,Burdwan,WEST BENGAL,BURDWAN,19,335.0
ASSAM,Lakhimpur,ASSAM,LAKHIMPUR,18,307.0
UTTARAKHAND,Pauri Garhwal,UTTARAKHAND,PAURI GARHWAL,5,61.0
ARUNACHAL PRADESH,Lohit,ARUNACHAL PRADESH,LOHIT,12,259.0
ODISHA,Dhenkanal,ODISHA,DHENKANAL,21,383.0
RAJASTHAN,Jaipur South,RAJASTHAN,JAIPUR,8,110.0
JHARKHAND,Garhwa,JHARKHAND,GARHWA,20,346.0
KERALA,Wayanadu,KERALA,WAYANADU,32,590.0
MADHYA PRADESH,ALIRAJPUR,MADHYA PRADESH,JHABUA,23,464.0
KERALA,Kozhikode Commr.,KERALA,KOZHIKODE,32,591.0
MAHARASHTRA,AURANGABAD COMMR.,MAHARASHTRA,AURANGABAD,27,515.0
RAJASTHAN,KOTA CITY,RAJASTHAN,KOTA,8,127.0
SIKKIM,North,SIKKIM,NORTH,11,241.0
UTTAR PRADESH,Ghaziabad,UTTAR PRADESH,GHAZIABAD,9,140.0
KARNATAKA,MYSORE COMMR.,KARNATAKA,MYSORE,29,577.0
JAMMU & KASHMIR,BANDIPORA,JAMMU & KASHMIR,BARAMULLA,1,8.0
PUNJAB,Amritsar Rural,PUNJAB,AMRITSAR,3,49.0
CHHATTISGARH,Balrampur,CHHATTISGARH,SARGUJA,22,401.0
CHHATTISGARH,Janjgir,CHHATTISGARH,JANJGIR,22,405.0
Telangana,Warangal Commissionerate,Telangana,WARANGAL,28,540.0
MADHYA PRADESH,Jabalpur Railway,MADHYA PRADESH,JABALPUR,23,451.0
Telangana,Rajanna Siricilla,Telangana,KARIMNAGAR,28,534.0
TAMIL NADU,Railway Chennai,TAMIL NADU,CHENNAI,33,603.0
KARNATAKA,Raichur,KARNATAKA,RAICHUR,29,559.0
KARNATAKA,Uttara Kannada,KARNATAKA,UTTAR KANNADA,29,563.0
JAMMU & KASHMIR,Railways Katra,JAMMU & KASHMIR,RAILWAYS KATRA,1,20.0
DELHI UT,South,DELHI UT,SOUTH,7,98.0
GUJARAT,AHMEDABAD COMMR.,GUJARAT,AHMEDABAD,24,474.0
MAHARASHTRA,Thane Commr.,MAHARASHTRA,THANE,27,517.0
HARYANA,Jhajjar,HARYANA,JHAJJAR,6,83.0
ANDHRA PRADESH,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,28,542.0
TAMIL NADU,Thiruvallur,TAMIL NADU,THIRUVALLUR,33,602.0
Telangana,Bhadradri Kothagudem,Telangana,KHAMMAM,28,541.0
UTTAR PRADESH,Gonda,UTTAR PRADESH,GONDA,9,183.0
GUJARAT,W.Rly Vadodara,GUJARAT,VADODARA,24,486.0
CHHATTISGARH,Narayanpur,CHHATTISGARH,BASTAR,22,414.0
MADHYA PRADESH,Datia,MADHYA PRADESH,DATIYA,23,422.0
UTTAR PRADESH,Sitapur,UTTAR PRADESH,SITAPUR,9,154.0
D & N HAVELI,D and N HAVELI,D & N HAVELI,D & N HAVELI,26,496.0
JHARKHAND,Dhanbad,JHARKHAND,DHANBAD,20,354.0
ASSAM,Hojai,ASSAM,NAGAON,18,305.0
GUJARAT,KUTCH (WEST-BHUJ),GUJARAT,KUTCH,24,468.0
MAHARASHTRA,AMRAVATI COMMR.,MAHARASHTRA,AMRAVATI,27,503.0
CHHATTISGARH,JAGDALPUR,CHHATTISGARH,BASTAR,22,414.0
ANDHRA PRADESH,Visakha Rural,ANDHRA PRADESH,VISAKHAPATNAM,28,544.0
RAJASTHAN,Udaipur,RAJASTHAN,UDAIPUR,8,130.0
MADHYA PRADESH,Morena,MADHYA PRADESH,MORENA,23,419.0
KERALA,Kasargod,KERALA,KASARGOD,32,588.0
ASSAM,Hamren,ASSAM,KARBI ANGLONG,18,314.0
BIHAR,Arwal,BIHAR,ARWAL,10,240.0
ASSAM,Kamrup,ASSAM,KAMRUP,18,321.0
ASSAM,Nalbari,ASSAM,NALBARI,18,323.0
PUNJAB,AMRITSAR RURAL,PUNJAB,AMRITSAR,3,49.0
UTTAR PRADESH,SHAMLI,UTTAR PRADESH,MUZAFFARNAGAR,9,133.0
CHANDIGARH,Chandigarh,CHANDIGARH,CHANDIGARH,4,55.0
ANDHRA PRADESH,Rajahmundry,ANDHRA PRADESH,RAJAHMUNDRY,28,545.0
JHARKHAND,Chaibasa,JHARKHAND,CHAIBASA,20,368.0
UTTAR PRADESH,Ghazipur,UTTAR PRADESH,GHAZIPUR,9,195.0
ANDAMAN & NICOBAR ISLANDS,NORTH,ANDAMAN & NICOBAR ISLANDS,ANDAMAN,35,640.0
ASSAM,CHIRANG,ASSAM,BONGAIGAON,18,319.0
BIHAR,Patna Railway,BIHAR,PATNA,10,230.0
Telangana,Kumaram Bheem Asifabad,Telangana,ADILABAD,28,532.0
GUJARAT,Morbi,GUJARAT,RAJKOT,24,476.0
BIHAR,BAGAHA,BIHAR,Pashchim Champaran,10,203.0
TRIPURA,SIPAHIJALA,TRIPURA,WEST,16,289.0
Telangana,Warangal Urban,Telangana,WARANGAL,28,540.0
GUJARAT,Anand,GUJARAT,ANAND,24,482.0
ANDHRA PRADESH,VISAKHA RURAL,ANDHRA PRADESH,VISAKHAPATNAM,28,544.0
NAGALAND,Peren,NAGALAND,PEREN,13,271.0
PUNJAB,Bathinda,PUNJAB,BHATINDA,3,46.0
ANDHRA PRADESH,Vijayawada Railway,ANDHRA PRADESH,VIJAYAWADA,28,547.0
RAJASTHAN,Jaisalmer,RAJASTHAN,JAISALMER,8,114.0
PUDUCHERRY,PONDICHERRY,PUDUCHERRY,PUDUCHERRY,34,635.0
DELHI UT,North-East,DELHI UT,NORTH EAST,7,92.0
JAMMU & KASHMIR,Handwara,JAMMU & KASHMIR,HANDWARA,1,1.0
TAMIL NADU,THIRUNELVELI URBAN,TAMIL NADU,THIRUNELVELI,33,628.0
MAHARASHTRA,Wardha,MAHARASHTRA,WARDHA,27,504.0
PUNJAB,CP Ludhiana,PUNJAB,LUDHIANA,3,41.0
KARNATAKA,Udupi,KARNATAKA,UDUPI,29,569.0
KARNATAKA,MYSORE RURAL,KARNATAKA,MYSORE,29,577.0
ODISHA,Kandhamal,ODISHA,KANDHAMAL,21,390.0
ODISHA,Jajpur,ODISHA,JAJPUR,21,382.0
MAHARASHTRA,Nandurbar,MAHARASHTRA,NANDURBAR,27,497.0
MAHARASHTRA,Buldhana,MAHARASHTRA,BULDHANA,27,500.0
RAJASTHAN,Jodhpur East,RAJASTHAN,JODHPUR,8,113.0
KARNATAKA,Koppal,KARNATAKA,KOPPAL,29,560.0
MADHYA PRADESH,Neemuch,MADHYA PRADESH,NEEMUCH,23,432.0
ANDAMAN & NICOBAR ISLANDS,Nicobar,ANDAMAN & NICOBAR ISLANDS,NICOBAR,35,638.0
GUJARAT,Amreli,GUJARAT,AMRELI,24,480.0
KARNATAKA,DHARWAD RURAL,KARNATAKA,DHARWAD,29,562.0
MAHARASHTRA,Mumbai Railway,MAHARASHTRA,MUMBAI,27,519.0
CHHATTISGARH,Surajpur,CHHATTISGARH,SARGUJA,22,401.0
BIHAR,Naugachia,BIHAR,NAUGACHIA,10,224.0
MEGHALAYA,JAINTIA HILLS EAST,MEGHALAYA,JAINTIA HILLS,17,299.0
BIHAR,Bettiah,BIHAR,Pashchim Champaran,10,203.0
WEST BENGAL,Kalimpong,WEST BENGAL,DARJEELING,19,327.0
MAHARASHTRA,Amravati Rural,MAHARASHTRA,AMRAVATI,27,503.0
HIMACHAL PRADESH,Kinnaur,HIMACHAL PRADESH,KINNAUR,2,34.0
UTTAR PRADESH,Chitrakoot,UTTAR PRADESH,CHITRAKOOT DHAM,9,171.0
HARYANA,Mewat,HARYANA,GURGAON,6,86.0
BIHAR,Sheohar,BIHAR,SHEOHAR,10,205.0
KERALA,THRISSUR COMMR.,KERALA,THRISSUR,32,594.0
MADHYA PRADESH,Ratlam,MADHYA PRADESH,RATLAM,23,434.0
UTTAR PRADESH,Varanasi,UTTAR PRADESH,VARANASI,9,197.0
ODISHA,Boudh,ODISHA,BOUDH,21,391.0
UTTAR PRADESH,Unnao,UTTAR PRADESH,UNNAO,9,156.0
BIHAR,Kishanganj,BIHAR,KISHANGANJ,10,210.0
NAGALAND,Kohima,NAGALAND,KOHIMA,13,270.0
KERALA,Malappuram,KERALA,MALAPPURAM,32,592.0
GOA,South Goa,GOA,SOUTH GOA,30,586.0
GUJARAT,Bharuch,GUJARAT,BHARUCH,24,488.0
MAHARASHTRA,NAGPUR RLY.,MAHARASHTRA,NAGPUR,27,505.0
TAMIL NADU,Thanjavur,TAMIL NADU,THANJAVUR,33,620.0
WEST BENGAL,Murshidabad,WEST BENGAL,MURSHIDABAD,19,333.0
UTTAR PRADESH,Aligarh,UTTAR PRADESH,ALIGARH,9,143.0
Telangana,Khammam Commissionerate,Telangana,KHAMMAM,28,541.0
GUJARAT,Vadodara City,GUJARAT,VADODARA,24,486.0
MADHYA PRADESH,Indore,MADHYA PRADESH,INDORE,23,439.0
MADHYA PRADESH,Chhindwara,MADHYA PRADESH,CHHINDWARA,23,455.0
HIMACHAL PRADESH,Hamirpur,HIMACHAL PRADESH,HAMIRPUR,2,28.0
GUJARAT,VADODARA RURAL,GUJARAT,VADODARA,24,486.0
TRIPURA,Sipahijala,TRIPURA,WEST,16,289.0
GUJARAT,TAPI,GUJARAT,SURAT,24,492.0
MIZORAM,Champhai,MIZORAM,CHAMPHAI,15,284.0
MADHYA PRADESH,AGAR,MADHYA PRADESH,SHAJAPUR,23,436.0
MADHYA PRADESH,Mandsaur,MADHYA PRADESH,MANDSAUR,23,433.0
ANDAMAN & NICOBAR ISLANDS,A and N ISLANDS,ANDAMAN & NICOBAR ISLANDS,NICOBAR,35,638.0
ASSAM,Majuli,ASSAM,JORHAT,18,312.0
MAHARASHTRA,Beed,MAHARASHTRA,BEED,27,523.0
UTTAR PRADESH,Azamgarh,UTTAR PRADESH,AZAMGARH,9,191.0
RAJASTHAN,Jodhpur West,RAJASTHAN,JODHPUR,8,113.0
JHARKHAND,JAMSHEDPUR RLY.,JHARKHAND,JAMSHEDPUR,20,357.0
MEGHALAYA,Khasi Hills West,MEGHALAYA,KHASI HILLS WEST,17,296.0
ANDHRA PRADESH,Nellore,ANDHRA PRADESH,NELLORE,28,550.0
TRIPURA,Unakoti,TRIPURA,WEST,16,289.0
PUNJAB,SAS NGR,PUNJAB,ROPAR,3,51.0
UTTAR PRADESH,Sidharthnagar,UTTAR PRADESH,SIDHARTHNAGAR,9,184.0
MADHYA PRADESH,Umaria,MADHYA PRADESH,UMARIYA,23,431.0
MADHYA PRADESH,Damoh,MADHYA PRADESH,DAMOH,23,428.0
MADHYA PRADESH,Ashok Nagar,MADHYA PRADESH,GUNA,23,458.0
RAJASTHAN,Bikaner,RAJASTHAN,BIKANER,8,101.0
MADHYA PRADESH,Alirajpur,MADHYA PRADESH,JHABUA,23,464.0
BIHAR,Jamui,BIHAR,JAMUI,10,238.0
GUJARAT,Rajkot Rural,GUJARAT,RAJKOT,24,476.0
JHARKHAND,Simdega,JHARKHAND,SIMDEGA,20,367.0
KARNATAKA,Chikkaballapura,KARNATAKA,KOLAR,29,581.0
JHARKHAND,Hazaribagh,JHARKHAND,RAMGARH,20,361.0
UTTAR PRADESH,Lucknow,UTTAR PRADESH,LUCKNOW,9,157.0
GUJARAT,Chhotaudepur,GUJARAT,VADODARA,24,486.0
ANDHRA PRADESH,Cuddapah,ANDHRA PRADESH,CUDDAPAH,28,551.0
MEGHALAYA,Garo Hills South West,MEGHALAYA,GARO HILLS WEST,17,293.0
KERALA,KOZHIKODE COMMR.,KERALA,KOZHIKODE,32,591.0
MAHARASHTRA,Nanded,MAHARASHTRA,NANDED,27,511.0
WEST BENGAL,Coochbehar,WEST BENGAL,COOCHBEHAR,19,329.0
RAJASTHAN,Nagaur,RAJASTHAN,NAGAUR,8,112.0
GUJARAT,Ahmedabad Rural,GUJARAT,AHMEDABAD,24,474.0
Telangana,Warangal Rural,Telangana,WARANGAL,28,540.0
TAMIL NADU,Virudhunagar,TAMIL NADU,VIRUDHUNAGAR,33,625.0
MADHYA PRADESH,Barwani,MADHYA PRADESH,BARWANI,23,441.0
MANIPUR,Noney,MANIPUR,TAMENGLONG,14,273.0
BIHAR,Madhubani,BIHAR,MADHUBANI,10,207.0
WEST BENGAL,PASCHIM MIDNAPUR,WEST BENGAL,MIDNAPUR,19,344.0
PUNJAB,SAS Nagar,PUNJAB,ROPAR,3,51.0
UTTARAKHAND,Tehri Garhwal,UTTARAKHAND,TEHRI GARHWAL,5,59.0
MADHYA PRADESH,ANUPPUR,MADHYA PRADESH,SHAHDOL,23,460.0
CHHATTISGARH,Bilaspur,CHHATTISGARH,BILASPUR,22,406.0
JHARKHAND,Dumka,JHARKHAND,DUMKA,20,362.0
PUNJAB,Fatehgarh Sahib,PUNJAB,FATEHGARH SAHIB,3,40.0
ANDHRA PRADESH,Tirupathi Urban,ANDHRA PRADESH,TIRUPATHI URBAN,28,554.0
Telangana,Jagityal,Telangana,KARIMNAGAR,28,534.0
GUJARAT,RAJKOT RURAL,GUJARAT,RAJKOT,24,476.0
UTTAR PRADESH,SAMBHAL,UTTAR PRADESH,MORADABAD,9,135.0
JAMMU & KASHMIR,Leh,JAMMU & KASHMIR,LEH,1,3.0
CHHATTISGARH,BALRAMPUR,CHHATTISGARH,SARGUJA,22,401.0
JAMMU & KASHMIR,Udhampur,JAMMU & KASHMIR,UDHAMPUR,1,19.0
KARNATAKA,Chikkamagaluru,KARNATAKA,CHICKMAGALUR,29,570.0
TAMIL NADU,Perambalur,TAMIL NADU,PERAMBALUR,33,615.0
KARNATAKA,BANGALORE COMMR.,KARNATAKA,BANGALORE,29,572.0
UTTAR PRADESH,AMETHI,UTTAR PRADESH,SULTANPUR,9,179.0
JHARKHAND,Gumla,JHARKHAND,GUMLA,20,366.0
GUJARAT,Kachchh East(G),GUJARAT,KUTCH,24,468.0
ODISHA,Kalahandi,ODISHA,KALAHANDI,21,395.0
TAMIL NADU,Sivagangai,TAMIL NADU,SIVAGANGAI,33,622.0
MADHYA PRADESH,Agar,MADHYA PRADESH,SHAJAPUR,23,436.0
UTTAR PRADESH,Moradabad,UTTAR PRADESH,MORADABAD,9,135.0
MAHARASHTRA,Nasik Commr.,MAHARASHTRA,NASIK,27,516.0
MADHYA PRADESH,Vidisha,MADHYA PRADESH,VIDISHA,23,443.0
ODISHA,Bhadrak,ODISHA,BHADRAK,21,378.0
MADHYA PRADESH,Balaghat,MADHYA PRADESH,BALAGHAT,23,457.0
CHHATTISGARH,Koriya,CHHATTISGARH,KORIYA,22,400.0
UTTAR PRADESH,Hathras,UTTAR PRADESH,HATHRAS,9,144.0
ODISHA,Jagatsinghpur,ODISHA,JAGATSINGHPUR,21,380.0
GUJARAT,VADODARA COMMR.,GUJARAT,VADODARA,24,486.0
RAJASTHAN,Tonk,RAJASTHAN,TONK,8,120.0
DELHI UT,NORTH-EAST,DELHI UT,NORTH EAST,7,92.0
KERALA,Thrissur Commr.,KERALA,THRISSUR,32,594.0
HARYANA,Panipat,HARYANA,PANIPAT,6,75.0
ARUNACHAL PRADESH,ANJAW,ARUNACHAL PRADESH,LOHIT,12,259.0
ASSAM,HAMREN,ASSAM,KARBI ANGLONG,18,314.0
KERALA,TRIVANDRUM RURAL,KERALA,TRIVANDRUM,32,601.0
ODISHA,Nuapada,ODISHA,NUAPADA,21,394.0
MANIPUR,Chandel,MANIPUR,CHANDEL,14,280.0
GUJARAT,KUTCH (EAST(G)),GUJARAT,KUTCH,24,468.0
MEGHALAYA,JAINTIA HILLS WEST,MEGHALAYA,JAINTIA HILLS,17,299.0
UTTARAKHAND,Champawat,UTTARAKHAND,CHAMPAWAT,5,65.0
GUJARAT,Jamnagar,GUJARAT,JAMNAGAR,24,477.0
CHHATTISGARH,KABIRDHAM,CHHATTISGARH,KAWARDHA,22,407.0
GUJARAT,Kheda,GUJARAT,KHEDA NORTH,24,483.0
DELHI UT,East,DELHI UT,EAST,7,93.0
JAMMU & KASHMIR,Kishtwar,JAMMU & KASHMIR,DODA,1,16.0
ARUNACHAL PRADESH,Changlang,ARUNACHAL PRADESH,CHANGLANG,12,253.0
HARYANA,Fatehabad,HARYANA,FATEHABAD,6,78.0
MEGHALAYA,KHASI HILLS SOUTH W.,MEGHALAYA,KHASI HILLS WEST,17,296.0
UTTAR PRADESH,Agra,UTTAR PRADESH,AGRA,9,146.0
UTTAR PRADESH,HAPUR,UTTAR PRADESH,GHAZIABAD,9,140.0
PUNJAB,Hoshiarpur,PUNJAB,HOSHIARPUR,3,38.0
ASSAM,Darrang,ASSAM,DARRANG,18,325.0
MADHYA PRADESH,Katni,MADHYA PRADESH,KATNI,23,450.0
GUJARAT,W.RLY,GUJARAT,AHMEDABAD,24,474.0
MANIPUR,Tamenglong,MANIPUR,TAMENGLONG,14,273.0
NAGALAND,Zunheboto,NAGALAND,ZUNHEBOTO,13,263.0
TRIPURA,West,TRIPURA,WEST,16,289.0
Telangana,Mulug,Telangana,WARANGAL,28,540.0
ODISHA,Bolangir,ODISHA,BOLANGIR,21,393.0
UTTARAKHAND,Udhamsingh Nagar,UTTARAKHAND,UDHAMSINGH NAGAR,5,67.0
BIHAR,Vaishali,BIHAR,VAISHALI,10,220.0
KARNATAKA,Tumakuru,KARNATAKA,TUMKUR,29,571.0
MADHYA PRADESH,Jabalpur,MADHYA PRADESH,JABALPUR,23,451.0
MAHARASHTRA,SOLAPUR COMMR.,MAHARASHTRA,SOLAPUR,27,526.0
MAHARASHTRA,Jalna,MAHARASHTRA,JALNA,27,514.0
KERALA,Kottayam,KERALA,KOTTAYAM,32,597.0
Telangana,Nizamabad Commissionerate,Telangana,NIZAMABAD,28,533.0
WEST BENGAL,Hooghly,WEST BENGAL,HOOGHLY,19,338.0
TRIPURA,Gomati,TRIPURA,SOUTH,16,290.0
Telangana,Sangareddy,Telangana,MEDAK,28,535.0
DELHI UT,SOUTH-WEST,DELHI UT,SOUTH WEST,7,97.0
UTTAR PRADESH,BHIM NAGAR,UTTAR PRADESH,MORADABAD,9,135.0
MAHARASHTRA,Hingoli,MAHARASHTRA,HINGOLI,27,512.0
RAJASTHAN,JODHPUR RURAL,RAJASTHAN,JODHPUR,8,113.0
MADHYA PRADESH,Sidhi,MADHYA PRADESH,SIDHI,23,462.0
MAHARASHTRA,Aurangabad Commr.,MAHARASHTRA,AURANGABAD,27,515.0
GUJARAT,W.RLY AHMEDABAD,GUJARAT,AHMEDABAD,24,474.0
ASSAM,Golaghat,ASSAM,GOLAGHAT,18,313.0
KERALA,Trivandrum Commr.,KERALA,TRIVANDRUM,32,601.0
MAHARASHTRA,Bhandara,MAHARASHTRA,BHANDARA,27,506.0
GUJARAT,Surendranagar,GUJARAT,SURENDRANAGAR,24,475.0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,ARUNACHAL PRADESH,DIBANG VALLEY,12,257.0
CHHATTISGARH,SURAJPUR,CHHATTISGARH,SARGUJA,22,401.0
JHARKHAND,Latehar,JHARKHAND,LATEHAR,20,359.0
ASSAM,BASKA,ASSAM,BAKSA,18,324.0
DELHI UT,South-East,DELHI UT,SOUTH,7,98.0
TAMIL NADU,Dindigul,TAMIL NADU,DINDIGUL,33,612.0
DELHI UT,NORTH-WEST,DELHI UT,NORTH WEST,7,90.0
MADHYA PRADESH,BURHANPUR,MADHYA PRADESH,KHANDWA,23,466.0
RAJASTHAN,Jaipur North,RAJASTHAN,JAIPUR,8,110.0
PUNJAB,CP AMRITSAR,PUNJAB,AMRITSAR,3,49.0
TRIPURA,Kowai,TRIPURA,WEST,16,289.0
PUNJAB,Pathankot,PUNJAB,GURDASPUR,3,35.0
ASSAM,Hailakandi,ASSAM,HAILAKANDI,18,318.0
UTTAR PRADESH,Raibareilly,UTTAR PRADESH,RAIBAREILLY,9,158.0
WEST BENGAL,Purulia,WEST BENGAL,PURULIA,19,340.0
RAJASTHAN,Jaipur West,RAJASTHAN,JAIPUR,8,110.0
JHARKHAND,Palamu,JHARKHAND,PALAMU,20,358.0
Telangana,Mahaboob Nagar,Telangana,MAHABOOBNAGAR,28,538.0
ANDHRA PRADESH,VIJAYAWADA RLY.,ANDHRA PRADESH,VIJAYAWADA,28,547.0
GUJARAT,AHMEDABAD RURAL,GUJARAT,AHMEDABAD,24,474.0
HARYANA,Panchkula,HARYANA,PANCHKULA,6,69.0
CHHATTISGARH,Durg,CHHATTISGARH,DURG,22,409.0
JHARKHAND,Khunti,JHARKHAND,RANCHI,20,364.0
MADHYA PRADESH,Dindori,MADHYA PRADESH,DINDORI,23,453.0
JAMMU & KASHMIR,Ganderbal,JAMMU & KASHMIR,GANDERBAL,1,11.0
UTTAR PRADESH,Jalaun,UTTAR PRADESH,JALAUN,9,165.0
CHHATTISGARH,BALODA BAZAR,CHHATTISGARH,RAIPUR,22,410.0
HARYANA,Nuh,HARYANA,GURGAON,6,86.0
UTTAR PRADESH,Allahabad,UTTAR PRADESH,ALLAHABAD,9,175.0
Telangana,Nagarkurnool,Telangana,MAHABOOBNAGAR,28,538.0
ANDHRA PRADESH,Prakasham,ANDHRA PRADESH,PRAKASHAM,28,549.0
JAMMU & KASHMIR,Baramulla,JAMMU & KASHMIR,BARAMULLA,1,8.0
MAHARASHTRA,Thane Rural,MAHARASHTRA,THANE,27,517.0
RAJASTHAN,Pali,RAJASTHAN,PALI,8,118.0
ARUNACHAL PRADESH,LONGDING,ARUNACHAL PRADESH,TIRAP,12,254.0
PUNJAB,LUDHIANA RURAL,PUNJAB,LUDHIANA,3,41.0
KARNATAKA,Belagavi District,KARNATAKA,BELGAUM,29,555.0
RAJASTHAN,Jaipur Crime,RAJASTHAN,JAIPUR,8,110.0
WEST BENGAL,BKP CP,WEST BENGAL,24 PARGANAS NORTH,19,337.0
UTTAR PRADESH,Amethi,UTTAR PRADESH,SULTANPUR,9,179.0
ASSAM,Biswanath,ASSAM,SONITPUR,18,306.0
HARYANA,Mahendergarh,HARYANA,MAHENDRAGARH,6,84.0
MAHARASHTRA,MUMBAI RLY.,MAHARASHTRA,MUMBAI,27,519.0
